node1,node2,
GATA6,GATA6,1
NANOG,NANOG,1
T,T,1
ID2,ID2,1
ID1,ID1,1
ZNF516,ZNF516,1
TBX3,TBX3,1
GATA4,GATA4,1
OTX2,OTX2,1
SOX2,SOX2,1
MSX1,MSX1,1
KLF8,KLF8,1
BHLHE40,BHLHE40,1
FOXF1,FOXF1,1
PITX2,PITX2,1
HOXB3,HOXB3,1
ID4,ID4,1
POU5F1,POU5F1,1
TCF7L1,TCF7L1,1
SMAD2,SMAD2,1
PLAGL1,PLAGL1,1
MSX2,MSX2,1
SOX5,SOX5,1
IRX3,IRX3,1
MEIS2,MEIS2,1
ZFX,ZFX,1
HESX1,HESX1,1
SOX11,SOX11,1
KLF10,KLF10,1
ARID4B,ARID4B,1
MAF,MAF,1
ETV1,ETV1,1
SOX17,SOX17,1
SRF,SRF,1
ARID3A,ARID3A,1
CEBPZ,CEBPZ,1
E2F4,E2F4,1
